,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
16824,Y,4,6,6,8,7,9,9,6,3,7,7,8,6,11,7,4
13975,L,3,8,4,6,2,7,3,0,9,9,2,11,0,7,2,8
4335,K,6,11,8,8,5,6,7,2,7,10,7,10,3,8,3,8
9244,N,1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8
14264,W,4,10,6,8,4,8,8,4,2,7,8,8,8,9,0,8
15380,N,2,1,3,3,2,7,9,5,4,7,6,6,4,8,1,6
2887,W,3,7,5,5,3,6,8,4,1,7,8,8,8,9,0,8
14747,P,8,13,7,7,5,10,7,4,5,12,4,5,4,11,5,8
12117,G,4,11,5,8,3,7,6,9,8,6,6,11,2,8,5,11
17916,W,3,4,5,3,3,9,11,3,2,5,9,8,6,11,1,8
13436,V,4,4,5,3,2,4,12,3,3,9,11,7,2,10,1,8
3760,Z,2,4,4,3,2,8,6,2,9,11,5,9,1,8,5,9
2748,O,4,6,4,4,3,9,6,7,5,10,4,10,3,8,4,7
6575,Z,4,9,5,7,2,7,7,4,14,9,6,8,0,8,8,8
16399,P,3,6,5,4,4,6,9,5,4,9,7,4,1,10,3,7
10666,X,4,9,6,7,5,7,7,3,8,5,6,8,3,8,6,7
12155,L,5,11,6,8,6,6,6,6,5,6,5,8,5,7,4,10
16395,N,3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8
14995,O,4,9,6,7,4,7,7,8,4,7,6,11,3,8,4,7
2897,R,6,9,9,8,9,7,7,4,4,7,5,8,8,7,7,9
14263,X,5,10,6,8,4,7,7,4,4,7,6,8,3,8,4,8
11334,O,2,3,3,2,1,7,7,7,5,7,6,8,2,8,3,7
2605,N,6,7,8,5,4,9,7,3,5,10,2,5,5,9,1,7
13019,M,7,9,10,6,6,10,5,2,6,9,4,7,8,6,2,8
14855,P,3,5,5,4,2,7,10,4,4,12,5,3,1,10,2,8
388,K,6,9,8,8,8,7,7,2,4,7,3,9,7,4,9,10
9605,K,3,7,4,5,3,3,7,6,3,7,6,11,3,8,3,11
11941,H,5,11,6,8,6,6,7,7,6,7,6,11,3,8,3,9
12319,Y,4,8,6,6,6,8,7,5,4,7,8,8,6,8,7,4
580,L,6,12,6,6,4,8,3,3,4,12,8,12,3,10,5,11
18678,U,8,14,7,8,5,7,6,5,5,6,7,8,5,7,3,7
18410,Q,7,9,8,11,7,8,5,7,5,9,6,9,3,7,6,8
2724,L,2,5,3,3,1,4,4,4,7,2,2,6,1,7,1,6
7420,B,3,8,3,6,4,7,6,8,5,7,6,7,2,9,7,9
8009,N,4,7,6,5,4,4,9,3,3,9,9,9,6,7,1,7
11462,S,5,10,4,6,2,7,3,4,4,8,2,7,3,7,5,8
8333,T,6,10,5,5,2,5,9,2,7,12,7,5,2,10,4,4
15393,F,3,5,3,4,2,6,10,4,5,10,9,4,2,10,2,6
472,K,3,6,5,4,5,7,6,3,4,6,6,8,7,7,6,9
17297,F,1,1,2,2,1,6,10,4,4,10,8,5,1,9,3,7
8708,M,3,4,4,3,3,7,6,6,4,6,7,8,7,5,2,7
16753,Z,4,10,5,8,2,7,7,4,15,9,6,8,0,8,8,8
13190,I,2,10,3,8,4,7,7,0,7,7,6,8,0,8,3,8
18987,C,4,7,5,5,2,6,7,6,7,12,8,13,2,10,3,8
3908,F,4,10,7,8,8,9,6,1,5,9,6,6,6,11,5,6
12943,J,0,0,1,0,0,12,4,4,3,12,4,10,0,7,0,8
16640,F,7,10,6,6,4,9,7,3,5,11,5,6,4,9,6,9
5047,Q,6,8,6,9,6,7,7,7,4,9,9,9,4,8,7,9
